series_id,source_title,release_title,source_link,release_link,release_time,title,latex_equation,tcode,frequency
SRVPRD,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"All Employees, Service-Providing (SRVPRD)",$\Delta \log(x_t)$,5,Monthly
T10YFFM,Federal Reserve Bank of St. Louis,Interest Rate Spreads,http://www.stlouisfed.org/,,,10-Year Treasury Constant Maturity Minus Federal Funds Rate (T10YFFM),No transformation,1,Monthly
T1YFFM,Federal Reserve Bank of St. Louis,Interest Rate Spreads,http://www.stlouisfed.org/,,,1-Year Treasury Constant Maturity Minus Federal Funds Rate (T1YFFM),No transformation,1,Monthly
T5YFFM,Federal Reserve Bank of St. Louis,Interest Rate Spreads,http://www.stlouisfed.org/,,,5-Year Treasury Constant Maturity Minus Federal Funds Rate (T5YFFM),No transformation,1,Monthly
TB3MS,Board of Governors of the Federal Reserve System (US),H.15 Selected Interest Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h15/,,"3-Month Treasury Bill Secondary Market Rate, Discount Basis (TB3MS)",$\Delta x_t$,2,Monthly
TB3SMFFM,Federal Reserve Bank of St. Louis,Interest Rate Spreads,http://www.stlouisfed.org/,,,3-Month Treasury Bill Minus Federal Funds Rate (TB3SMFFM),No transformation,1,Monthly
TB6MS,Board of Governors of the Federal Reserve System (US),H.15 Selected Interest Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h15/,,"6-Month Treasury Bill Secondary Market Rate, Discount Basis (TB6MS)",$\Delta x_t$,2,Monthly
TB6SMFFM,Federal Reserve Bank of St. Louis,Interest Rate Spreads,http://www.stlouisfed.org/,,,6-Month Treasury Bill Minus Federal Funds Rate (TB6SMFFM),No transformation,1,Monthly
TOTRESNS,Board of Governors of the Federal Reserve System (US),H.6 Money Stock Measures,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h6/,,Reserves of Depository Institutions: Total (TOTRESNS),$\Delta^2 \log(x_t)$,6,Monthly
TWEXAFEGSMTH,Board of Governors of the Federal Reserve System (US),G.5 Foreign Exchange Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g5/,,Nominal Advanced Foreign Economies U.S. Dollar Index (TWEXAFEGSMTH),$\Delta \log(x_t)$,5,Monthly
UEMP15OV,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,Number Unemployed for 15 Weeks & over (UEMP15OV),$\Delta \log(x_t)$,5,Monthly
UEMP15T26,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,Number Unemployed for 15-26 Weeks (UEMP15T26),$\Delta \log(x_t)$,5,Monthly
UEMP27OV,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,Number Unemployed for 27 Weeks & over (UEMP27OV),$\Delta \log(x_t)$,5,Monthly
UEMP5TO14,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,Number Unemployed for 5-14 Weeks (UEMP5TO14),$\Delta \log(x_t)$,5,Monthly
UEMPLT5,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,Number Unemployed for Less Than 5 Weeks (UEMPLT5),$\Delta \log(x_t)$,5,Monthly
UEMPMEAN,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,Average Weeks Unemployed (UEMPMEAN),$\Delta x_t$,2,Monthly
UMCSENT,University of Michigan,Surveys of Consumers,https://www.umich.edu/,http://www.sca.isr.umich.edu/,,University of Michigan: Consumer Sentiment (UMCSENT),$\Delta x_t$,2,Monthly
UNEMPLOY,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,, Unemployment Level (UNEMPLOY),,,Monthly
UNRATE,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,8:30:00 AM ET,Unemployment Rate (UNRATE),$\Delta x_t$,2,Monthly
USCONS,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"All Employees, Construction (USCONS)",$\Delta \log(x_t)$,5,Monthly
USFIRE,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"All Employees, Financial Activities (USFIRE)",$\Delta \log(x_t)$,5,Monthly
USGOOD,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"All Employees, Goods-Producing (USGOOD)",$\Delta \log(x_t)$,5,Monthly
USGOVT,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"All Employees, Government (USGOVT)",$\Delta \log(x_t)$,5,Monthly
USTPU,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"All Employees, Trade, Transportation, and Utilities (USTPU)",$\Delta \log(x_t)$,5,Monthly
USTRADE,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"All Employees, Retail Trade (USTRADE)",$\Delta \log(x_t)$,5,Monthly
USWTRADE,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"All Employees, Wholesale Trade (USWTRADE)",$\Delta \log(x_t)$,5,Monthly
W875RX1,U.S. Bureau of Economic Analysis,Personal Income and Outlays,http://www.bea.gov/,https://www.bea.gov/data/income-saving/personal-income,,Real personal income excluding current transfer receipts (W875RX1),$\Delta \log(x_t)$,5,Monthly
WPSFD49207,U.S. Bureau of Labor Statistics,Producer Price Index,https://www.bls.gov/,http://www.bls.gov/ppi/,,Producer Price Index by Commodity: Final Demand: Finished Goods (WPSFD49207),$\Delta^2 \log(x_t)$,6,Monthly
WPSFD49502,U.S. Bureau of Labor Statistics,Producer Price Index,https://www.bls.gov/,http://www.bls.gov/ppi/,,Producer Price Index by Commodity: Final Demand: Personal Consumption Goods (Finished Consumer Goods) (WPSFD49502),$\Delta^2 \log(x_t)$,6,Monthly
WPSID61,U.S. Bureau of Labor Statistics,Producer Price Index,https://www.bls.gov/,http://www.bls.gov/ppi/,,Producer Price Index by Commodity: Intermediate Demand by Commodity Type: Processed Goods for Intermediate Demand (WPSID61),$\Delta^2 \log(x_t)$,6,Monthly
WPSID62,U.S. Bureau of Labor Statistics,Producer Price Index,https://www.bls.gov/,http://www.bls.gov/ppi/,,Producer Price Index by Commodity: Intermediate Demand by Commodity Type: Unprocessed Goods for Intermediate Demand (WPSID62),$\Delta^2 \log(x_t)$,6,Monthly
ICNSA,U.S. Employment and Training Administration,Unemployment Insurance Weekly Claims Report,https://www.dol.gov/agencies/eta,https://www.dol.gov/ui/data.pdf,,Initial Claims (ICNSA),,,Monthly
VIXCLS,Chicago Board Options Exchange,CBOE Market Statistics,http://www.cboe.com/,http://www.cboe.com/data/mktstat.aspx,,CBOE Volatility Index: VIX,,,Monthly
