symbol,name,currency,summary,category_group,category,family,exchange,market
ACES,ALPS Clean Energy ETF,USD,"The investment seeks investment results that correspond (before fees and expenses) generally to the performance of its underlying index, the CIBC Atlas Clean Energy Index (ticker symbol NACEX) (the ""underlying index"").
 The fund will invest at least 80% of its net assets in securities that comprise the underlying index. The underlying index utilizes a rules-based methodology developed by CIBC National Trust Company (the ""index provider""), which is designed to provide exposure to a diverse set of U.S. and Canadian companies involved in the clean energy sector including renewables and clean technology. The fund is non-diversified.",Equities,Energy,ALPS ETF Trust,PCX,us_market
ACIO,Aptus Collared Income Opportunity ETF,USD,"The investment seeks current income and capital appreciation.
 The fund is an actively-managed exchange-traded fund (âETFâ) that seeks to achieve its investment objective principally by investing in a portfolio of U.S.-listed equity securities of any market capitalization and buying put options or an options collar on the same underlying equity securities or on an index tracking a portfolio of large capitalization U.S. equity securities. It may write call options on up to 100% of each equity position held in the portfolio and will use a portion of the premium received from writing such call options to purchase put options. The fund is non-diversified.",,,Aptus Capital Advisors,BTS,us_market
ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,USD,"The investment seeks investment results that correspond generally to the performance, before fees and expenses, of the MSCI ACWI ex USA ESG Leaders Index.
 The index is constructed using regional indexes that provide exposure to large- and medium-capitalization companies from developed and emerging markets countries (excluding the United States). The fund will normally invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in equity securities from countries other than the United States. The fund is non-diversified.",Equities,Factors,Xtrackers,PCX,us_market
ACSI,American Customer Satisfaction ETF,USD,"The investment seeks to track the performance of the American Customer Satisfaction Investable Index.
 Under normal circumstances, at least 80% of the fund&#39;s net assets, plus borrowings for investment purposes, will be invested in investments that are tied economically to the United States. Construction of the index begins with over 400 ACSI Companies across 46 industries and 10 economic sectors. The initial universe is then screened to eliminate companies whose stock is not principally listed on a U.S. exchange, whose market capitalization is less than $1 billion, or for which the Customer Satisfaction Data is statistically insignificant.",Equities,Factors,Exponential ETFs,BTS,us_market
ACTV,LeaderShares Activist Leaders ETF,USD,"The investment seeks to generate long-term capital growth.
 The fund will be invested in equity securities of companies listed on a U.S. exchange with market capitalizations of at least $1 billion at the time of initial purchase. It may focus its investments in a particular sector, industry or group of industries. The fund may utilize derivatives, such as equity options and total return swap agreements, to seek to achieve its objective and for hedging purposes.",Equities,Factors,LeaderShares,PCX,us_market
ACVF,American Conservative Values ETF,USD,"The investment seeks to achieve long-term capital appreciation; capital preservation is the secondary objective.
 Under normal circumstances, the fund seeks to meet its investment objective by investing at least 80% of its net assets, plus borrowings for investment purposes, if any, in equity securities of U.S. companies that meet its politically conservative criteria. The equity securities in which It invests will generally be those of companies with large market capitalizations.",,,ACV ETFs,PCX,us_market
ACWF,iShares MSCI Global Multifactor ETF,USD,"The investment seeks to track the investment results of the MSCI ACWI Diversified Multiple-Factor Index.
 The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The underlying index is designed to contain equity securities from the MSCI ACWI Index (the ""parent index"") that have high exposure to four investment style factors: value, quality, momentum and low size, while maintaining a level of risk similar to that of the parent index.",,,BlackRock Asset Management,PCX,us_market
ACWI,iShares MSCI ACWI ETF,USD,"The investment seeks to track the investment results of the MSCI ACWI composed of large- and mid-capitalization developed and emerging market equities.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization index designed to measure the combined equity market performance of developed and emerging markets countries.",,,BlackRock Asset Management,NGM,us_market
ACWV,iShares MSCI Global Min Vol Factor ETF,USD,"The investment seeks to track the investment results of the MSCI ACWI Minimum Volatility (USD) Index.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index measures the combined performance of equity securities in both developed and emerging markets that, in the aggregate, have lower volatility relative to the large- and mid-cap developed and emerging markets.",,,BlackRock Asset Management,BTS,us_market
ACWX,iShares MSCI ACWI ex U.S. ETF,USD,"The investment seeks to track the investment results of the MSCI ACWI ex USA Index composed of large- and mid-capitalization non-U.S. equities.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization-weighted index designed to measure the combined equity market performance of developed and emerging markets countries, excluding the United States.",Equities,Factors,BlackRock Asset Management,NMS,us_market
ADFI,Anfield Dynamic Fixed Income ETF,USD,"The investment seeks to provide total return with capital preservation as a secondary objective.
 The fund is an actively managed ETF that is a ""fund of funds,"" meaning that it primarily invests its assets in securities of other ETFs. It normally invests at least 80% of its net assets, including any borrowings for investment purposes, in other unaffiliated ETFs that invest in any facet of the global debt markets, including corporate bonds, U.S. government and agency securities, private debt, foreign sovereign bonds, convertible securities, bank loans, asset-backed securities, mortgage-backed securities, and cash equivalent instruments.",Fixed Income,Bonds,Anfield,BTS,us_market
ADIV,SmartETFs Asia Pacific Dividend Builder ETF,USD,"The investment seeks to provide investors with dividend income and long-term capital growth.
 The fund invests at least 80% of its net assets (plus any borrowings for investment purposes) in publicly-traded, dividend-producing equity securities of companies that are tied economically to countries in the Asia Pacific region. Under normal market conditions it will invest in companies economically tied to at least four different countries in the Asia Pacific region, which may be developed or emerging markets and which may include Australia, China, Hong Kong, Singapore, and Taiwan.",Equities,Emerging Markets,SmartETFs,PCX,us_market
ADME,Aptus Drawdown Managed Equity ETF,USD,"The investment seeks capital appreciation with downside protection.
 The fund is an actively managed exchange-traded fund (""ETF"") that seeks to achieve its objective principally by investing in a portfolio of U.S.-listed equity securities, while limiting downside risk by purchasing exchange-listed put options on one or more of such equity securities or on broad-based indexes or ETFs that track the performance of the U.S. equity market. Under normal circumstances, at least 80% of the fund&#39;s net assets (plus borrowings for investment purposes) will be invested in equity securities.",,,Aptus Capital Advisors,BTS,us_market
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,USD,"The investment seeks to track the investment results, of publicly traded Depositary Receipts representing securities of issuers in emerging markets represented by the S&P/BNY Mellon Emerging 50 ADR Index (USD).
 The index is developed by the Licensor from a universe of Depositary Receipts defined by the S&P/Bank of New York Mellon ADR Index (""S&P/BNY Mellon ADR Composite Index""). The fund normally holds at least 95% of its total assets in Depositary Receipts that comprise the index, and will seek to track the investment results, before fees and expenses, of the index. It is non-diversified.",Equities,Emerging Markets,Invesco Investment Management,NGM,us_market
AEB,Aegon N.V. PERP CAP FLTG RT,USD,,,,Aegon Investment Management,NYQ,us_market
AESR,Anfield U.S. Equity Sector Rotation ETF,USD,"The investment seeks to outperform traditional large-cap equity indices and styles over full market cycles by investing in various sectors of the equity market.
 The fund is an actively managed exchange traded fund that normally invests at least 80% of its net assets, including any borrowings for investment purposes, in a diversified portfolio of ETFs that each invest at least 80% of their assets in U.S. equity securities. It may also invest in various types of derivatives, including exchange listed and over the counter futures, options, total return swaps, forwards and repurchase agreements.",Equities,Factors,Anfield,BTS,us_market
AFIF,Anfield Universal Fixed Income ETF,USD,"The investment seeks current income.
 The fund is an actively managed exchange traded fund (""ETF"") that normally invests at least 80% of its net assets, including any borrowings for investment purposes, in a diversified portfolio of fixed income instruments. The principal investments of the fund include corporate bonds, U.S. government and agency securities, master-limited partners (""MLPs"") (tied to energy-related commodities), private debt, foreign sovereign bonds, convertible securities, bank loans, asset-backed securities, mortgage-backed securities, and cash equivalent instruments.",Fixed Income,Bonds,Affinity,BTS,us_market
AFK,VanEck Vectors Africa Index ETF,USD,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVISÂ® GDP Africa Index.
 The fund normallyinvests at least 80% of its total assets in securities that comprise the fundâs benchmark index. The index includes securities of African companies. African companies generally include local listings of companies that are incorporated in Africa and listings of companies incorporated outside of Africa but that have at least 50% of their revenues/related assets in Africa.",Equities,Developed Markets,VanEck Asset Management,PCX,us_market
AFLG,First Trust Active Factor Large Cap ETF,USD,"The investment seeks to provide capital appreciation.
 Under normal market conditions, the fund will invest at least 80% of its net assets (including investment borrowings) in U.S.-listed equity securities issued by large capitalization companies. The manager defines large capitalization companies as those that, at the time of investment, have a minimum market capitalization equal to or greater than the minimum market capitalization of a widely recognized index of large capitalization companies based upon the composition of the index at the time of investment. It is non-diversified.",Equities,Factors,First Trust Advisors,PCX,us_market
AFSM,First Trust Active Factor Small Cap ETF,USD,"The investment seeks to provide capital appreciation.
 Under normal market conditions, the fund will invest at least 80% of its net assets (including investment borrowings) in U.S.-listed equity securities issued by small capitalization companies. The manager defines small capitalization companies as those that, at the time of investment, have a market capitalization between a minimum of $250 million and the maximum market capitalization of a widely recognized index of small capitalization companies based upon the composition of the index at the time of investment. It is non-diversified.",Equities,Factors,First Trust Advisors,PCX,us_market
AFTY,Pacer CSOP FTSE China A50 ETF,USD,"The investment seeks to provide investment results that, before fees and expenses, track the performance of the FTSE China A50 Net Total Return Index.
 The fund employs a âpassive managementâ investment approach designed to track the total return performance, before fees and expenses, of the index. The index is comprised of A-Shares issued by the 50 largest companies in the China A-Shares market. It will typically invest at least 80% of its total assets in the securities included in the index. The fund may invest the remainder of its assets in investments that are not included in the index, but which the Sub-Adviser believes will help it track the index.",Equities,Emerging Markets,Pacer,PCX,us_market
AGG,iShares Core U.S. Aggregate Bond ETF,USD,"The investment seeks to track the investment results of the Bloomberg Barclays U.S. Aggregate Bond Index.
 The index measures the performance of the total U.S. investment-grade bond market. The fund generally invests at least 90% of its net assets in component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the economic characteristics of the component securities of its underlying index.",Fixed Income,Bonds,BlackRock Asset Management,PCX,us_market
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,USD,"The investment seeks to track the price and yield performance, before fees and expenses, of the Bloomberg Barclays US Aggregate Enhanced Yield Index (the ""index"").
 Under normal circumstances, the fund will invest at least 80% of its total asset in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is designed to broadly capture the U.S. investment grade, fixed income securities market while seeking to enhance yield within desired risk parameters and constraints. The fund is non-diversified.",Fixed Income,Bonds,WisdomTree Asset Management,PCX,us_market
AGNG,Global X Aging Population ETF,USD,"The investment seeks results that correspond generally to the price and yield performance, before fees and expenses, of the Indxx Global Longevity Thematic Index.
 The fund invests more than 80% of its total assets in the securities of the underlying index. The underlying index is designed to provide exposure to exchange-listed companies in developed markets that facilitate the demographic trend of longer average life spans and the aging of the global population, including but not limited to companies involved in biotechnology, medical devices, pharmaceuticals, senior living facilities and specialized health care services.",Health Care,Health Care,Global X Funds,NMS,us_market
AGQ,ProShares Ultra Silver,USD,"The investment seeks daily investment results, before fees and expenses, that correspond to two times (2x) the daily performance of the Bloomberg Silver SubindexSM.
 The fund seeks to meet its investment objective by investing, under normal market conditions, in any one of, or combinations of, Financial Instruments (including swap agreements, futures contracts, forward contracts and option contracts) based on the benchmark. The types and mix of Financial Instruments in which the fund invests may vary daily at the discretion of the Sponsor. It will not invest directly in any commodity.",Commodities,Trading,ProShares,PCX,us_market
AGT,iShares MSCI Argentina and Global Exposure ETF,USD,"The investment seeks to track the investment results of the MSCI All Argentina 25/50 Index (the ""underlying index"").
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure the broad Argentina equity universe, while including a minimum number of constituents, as defined by MSCI, Inc. (the ""index provider"" or ""MSCI""). The fund is non-diversified.",Equities,Developed Markets,BlackRock Asset Management,BTS,us_market
AGZ,iShares Agency Bond ETF,USD,"The investment seeks to track the investment results of the Bloomberg Barclays U.S. Agency Bond Index.
 The underlying index measures the performance of the agency sector of the U.S. government bond market and is comprised of investment-grade U.S. dollar-denominated publicly-issued government agency bonds or debentures. The fund generally will invest at least 90% of its assets in the component securities of the underlying index.",Fixed Income,Bonds,BlackRock Asset Management,PCX,us_market
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,USD,"The investment seeks to track the price and yield performance, before fees and expenses, of the Bloomberg Barclays Rate Hedged U.S. Aggregate Bond Index, Zero Duration (the ""index"").
 The index is designed to provide long exposure to the Bloomberg Barclays U.S. Aggregate Bond Index while seeking to manage interest rate risk through the use of short positions in U.S. Treasury securities. The fund normally invests at least 80% of its total assets in the component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. It is non-diversified.",Fixed Income,Bonds,WisdomTree Asset Management,NMS,us_market
AIA,iShares Asia 50 ETF,USD,"The investment seeks to track the S&P Asia 50TM, which is a float-adjusted, market capitalization-weighted index that is designed to measure the performance of the 51 leading companies listed in four Asian countries or regions: Hong Kong, Singapore, South Korea and Taiwan.
 The fund generally will invest at least 90% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified.",Equities,Emerging Markets,BlackRock Asset Management,NMS,us_market
AIEQ,AI Powered Equity ETF,USD,"The investment seeks capital appreciation.
 The fund is actively managed and invests primarily in equity securities listed on a U.S. exchange based on the results of a proprietary, quantitative model (the ""EquBot Model"") developed by EquBot LLC (""EquBot"") that runs on the IBM Watsonâ¢ platform. EquBot, the fund&#39;s sub-adviser, is a technology based company focused on applying artificial intelligence (""AI"") based solutions to investment analyses. The fund is non-diversified.",Equities,Factors,ETF Management,PCX,us_market
AIIQ,AI Powered International Equity ETF,USD,"The investment seeks capital appreciation.
 The fund is actively managed and seeks to achieve its investment objective by investing primarily in equity securities (or depositary receipts) of companies in developed markets outside the United States based on the results of a proprietary, quantitative model (the ""EquBot Model"") developed by the adviser that runs on the Watsonâ¢ platform. Its investment adviser is a technology based company focused on applying artificial intelligence (""AI"") based solutions to investment analyses. The fund is non-diversified.",,,Equbot,PCX,us_market
AIQ,Global X Artificial Intelligence & Technology ETF,USD,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Indxx Artificial Intelligence and Big Data Index (""underlying index"").
 The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index is designed to track the performance of companies involved in the development and utilization of artificial intelligence (""AI"") and big data. The fund is non-diversified.",Equities,Technology,Global X Funds,NMS,us_market
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,USD,"The investment seeks investment results that correspond generally to the price and yield (before the fund&#39;s fees and expenses) of an index called the Richard Bernstein Advisors American Industrial RenaissanceÂ® Index (the ""index"").
 The fund will normally invest at least 90% of its net assets (including investment borrowings) in the equity securities that comprise the index. The index is designed to measure the performance of small and mid cap U.S. companies in the industrial and community banking sectors.",Equities,Industrials,First Trust Advisors,NGM,us_market
AJXA,Great Ajax Corp. 7.25 CV SR NT 24,USD,,,,,NYQ,us_market
ALFA,AlphaClone Alternative Alpha ETF,USD,"The investment seeks to track the price and yield, before fees and expenses, of the AlphaClone Hedge Fund Masters Index.
 The fund uses a ""passive management"" approach to track the performance, before fees and expenses, of the index. The index utilizes a proprietary, quantitative Clone Score methodology developed by the fund&#39;s index provider, to replicate the five most heavily weighted U.S. equity securities from each of the ten hedge funds and institutional investors with the highest Clone Scores. At least 80% of the fund&#39;s total assets (exclusive of any collateral held from securities lending) will be invested in the component securities of the index.",,,AlphaClone,BTS,us_market
ALTL,Pacer Lunt Large Cap Alternator ETF,USD,"The investment seeks to track the total return performance, before fees and expenses, of the Lunt Capital U.S. Large Cap Equity Rotation Index.
 Under normal circumstances, at least 80% of the fundâs total assets (exclusive of collateral held from securities lending) will be invested in the component securities of its underlying index or in one or more ETFs that track the performance of all or a portion of such component securities in the same approximate proportion as in the fundâs underlying index. The index uses an objective, rules-based methodology to provide exposure to large-capitalization U.S. companies. It is non-diversified.",Equities,Factors,Pacer,PCX,us_market
ALTS,ProShares Morningstar Alternatives Solution ETF,USD,"The investment seeks investment results, before fees and expenses, that track the performance of the MorningstarÂ® Diversified Alternatives IndexSM (the ""index"").
 The fund is a fund of ETFs and seeks to achieve its investment objective by investing primarily in the underlying ETFs. It is designed to provide investors with a comprehensive solution to their alternatives allocation by investing in the alternative ETFs comprising its index. The index is designed to provide diversified exposure to alternative asset classes when combined with a range of traditional investments. The fund is non-diversified.",,,ProShares,BTS,us_market
ALTY,Global X SuperDividend Alternatives ETF,USD,"The investment seeks to track, before fees and expenses, the price and yield performance of the Indxx SuperDividendÂ® Alternatives Index (""underlying index"").
 The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is comprised of securities that rank among the highest dividend-yielding securities in each eligible category of alternative income investments, at the time of index reconstitution, as defined by the index provider.",,,Global X Funds,NGM,us_market
ALUM,Global X Aluminum ETF,,,,,,PCX,us_market
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,USD,"The investment seeks to track the investment results of the Russell 1000Â® Pure Domestic Exposure Index.
 The fund generally will invest at least 90% of its assets in the component securities of the underlying index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the underlying index. The index composed of U.S. companies exhibiting higher domestic sales as a proportion of the company&#39;s total sales relative to other large- and mid-capitalization U.S. equities. The fund is non-diversified.",,,BlackRock Asset Management,NGM,us_market
AMER,Emles Made in America ETF,USD,"The investment seeks investment results that correspond, before fees and expenses, to the price and yield performance of the Emles American Manufacturing Index.
 The fund seeks to replicate the index and will generally invest at least 80% of its net assets in the component securities of the index, holding each stock in approximately the same proportion as its weighting in the index. The index is designed to provide exposure to U.S. dollar-denominated equities publicly-listed by U.S. companies (and their subsidiaries) headquartered in the U.S. and focused on the production of goods within North America. It is non-diversified.",,,Emles,BTS,us_market
AMJ,JPMorgan Alerian MLP Index ETN,USD,"The investment seeks to replicate, net of expenses, the Alerian MLP Index.
 The index tracks the performance of midstream energy Master Limited Partnerships.",Equities,Energy,JPMorgan Asset Management,PCX,us_market
AMLP,Alerian MLP ETF,USD,"The investment seeks investment results that correspond (before fees and expenses) generally to the price and yield performance of its underlying index, the Alerian MLP Infrastructure Index.
 The fund will normally invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index is comprised of energy infrastructure MLPs that earn a majority of their cash flow from the transportation, storage and processing of energy commodities. It is non-diversified.",Equities,Energy,ALPS ETF Trust,PCX,us_market
AMNA,ETRACS Alerian Midstream Energy Index ETN,USD,"The investment seeks to provide an unleveraged long exposure to the performance of the Alerian Midstream Energy Index, subject to a Daily Tracking Fee. The index is a broad based composite of North American energy infrastructure companies that earn the majority of their cash flow from midstream energy activities involving energy commodities. Investing in the Securities involves significant risks.",,,UBS Asset Management,PCX,us_market
AMND,ETRACS Alerian Midstream Energy High Dividend Index ETN,USD,"The investment seeks a return linked to the performance of the Alerian Midstream Energy Dividend Index (the âindexâ).
The index is a fundamentally-weighted index based on the liquid, dividend-paying portion of the North American energy infrastructure market. The securities do not have a minimum payment at maturity, upon redemption or upon call and are fully exposed to any decline in the index. The payment investors receive on the securities at maturity, early redemption or upon exercise by UBS of its call right will depend on the performance of the index, as measured by the Current Principal Amount.",Equities,Energy,UBS Asset Management,PCX,us_market
AMOM,QRAFT AI-Enhanced U.S. Large Cap Momentum ETF,USD,"The investment seeks capital appreciation.
 The fund is an actively-managed ETF that seeks to achieve its investment objective by investing at least 80% of its net assets, plus the amounts of any borrowings for investment purposes, in securities of U.S.-listed large capitalization companies. The Adviser consults a database generated by Qraft&#39;s AI Quantitative Investment System, which automatically selects and weights portfolios of U.S. large cap companies to provide exposure to a portfolio of 50 companies that have had higher residual returns relative to their similar-sized peers over a rolling 3 to 36 month period. The fund is non-diversified.",Equities,Factors,Exchange Traded Concepts,PCX,us_market
AMUB,UBS ETRACS Alerian MLP Index ETN Series B,USD,"The investment seeks to provide exposure to potential price appreciation in the Alerian MLP Index (the âindexâ).
 The ETRACS Alerian MLP Index ETN Series B due July 18, 2042 (the âSecuritiesâ) is senior unsecured debt securities issued by UBS. The index measures the composite performance of energy master limited partnerships (âMLPsâ), and is calculated by S&P Dow Jones Indices using a float-adjusted, capitalization-weighted methodology.",Equities,Energy,UBS Asset Management,PCX,us_market
